condition,Kinase,n_peptides,n_pairs,mean_diff,statistic,effect_size,p_value,p_adjusted,source_file
Neg15m_NegCTL,VRK1,3,9,-0.2750554489423438,0,0,0.009151688852650072,0.01381386996626426,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,MSN,4,12,-0.21248121358465294,7,0.08974358974358974,0.013471197018213178,0.019957328915871375,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,LKB,5,15,-0.1798910406687802,17,0.14166666666666666,0.015785487984724417,0.022960709795962788,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,COT,5,15,-0.260815775680204,19,0.15833333333333333,0.021434319431080633,0.03062045633011519,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,BARK2,3,9,-0.2997701416988129,4,0.08888888888888889,0.03296938124422011,0.04577024986357816,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,CK2,5,15,-0.2297948367550055,22,0.18333333333333332,0.033183431151094164,0.04577024986357816,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,STKR,5,15,-0.24746923451305103,26,0.21666666666666667,0.05708333882482989,0.07740113738959985,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,MARK,6,18,-0.2473742451576163,42,0.24561403508771928,0.06111461900453386,0.0814861586727118,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,MLCK,5,15,-0.12186508941133159,30,0.25,0.09383863903411001,0.12306706758571803,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PAKB,2,6,-0.16134842102329783,3,0.14285714285714285,0.1422132419363925,0.18350095733728064,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PASK,1,3,-0.5994832889886187,0,0,0.1814492077214203,0.21665577041363618,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,NMO,1,3,-0.5093486948802218,0,0,0.1814492077214203,0.21665577041363618,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,ATM,1,3,-0.7343822246165294,0,0,0.1814492077214203,0.21665577041363618,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,KHS,1,3,-0.38781687745861565,0,0,0.1814492077214203,0.21665577041363618,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,PKN,1,3,-0.1690361523414546,0,0,0.1814492077214203,0.21665577041363618,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,HAL,2,6,-0.3317654073744798,4,0.19047619047619047,0.20841280368414858,0.24519153374605715,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,TAO,1,3,-0.19459787851864735,1,0.16666666666666666,0.42267807417063546,0.4762569849809978,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,SLK,1,3,-0.14344476306532808,1,0.16666666666666666,0.42267807417063546,0.4762569849809978,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,MOS,1,3,0.6149116331390907,5,0.8333333333333334,0.4226780741706355,0.4762569849809978,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,EGFR,1,3,-0.14706117523056134,2,0.3333333333333333,0.7892680261342813,0.7992587606423102,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
Neg15m_NegCTL,CSK,1,3,-0.14706117523056134,2,0.3333333333333333,0.7892680261342813,0.7992587606423102,hpv_neg_25.12-signal_Neg15m_NegCTL-STK.csv
