Kinase,lfc,condition,biologically_meaningful
MSN,0.10015492681526246,Pos4h_PosCTL,FALSE
MST,0.07442011940857156,Pos4h_PosCTL,FALSE
MTOR,-0.00378006605682422,Pos4h_PosCTL,FALSE
NAK,0.3433375854057612,Pos4h_PosCTL,TRUE
NDR,0.5393433687584022,Pos4h_PosCTL,TRUE
NEK,0.18635694851240872,Pos4h_PosCTL,FALSE
NMO,-0.27898531542381055,Pos4h_PosCTL,TRUE
P38,0.03988429344342906,Pos4h_PosCTL,FALSE
PAKA,0.49732490995133516,Pos4h_PosCTL,TRUE
PAKB,0.09728758705205895,Pos4h_PosCTL,FALSE
PASK,0.710043976023997,Pos4h_PosCTL,TRUE
PDGFR,-0.2824976426732566,Pos4h_PosCTL,TRUE
PDHK,0.3008226185060825,Pos4h_PosCTL,TRUE
PDK1,0.04294142054098948,Pos4h_PosCTL,FALSE
PEK,0.1868566112000184,Pos4h_PosCTL,FALSE
PHK,0.21490139009531598,Pos4h_PosCTL,TRUE
PIM,0.22827798495821366,Pos4h_PosCTL,TRUE
PKA,0.410031206756132,Pos4h_PosCTL,TRUE
PKCA,0.20273894646787277,Pos4h_PosCTL,TRUE
PKCD,0.5408926193758503,Pos4h_PosCTL,TRUE
PKCH,0.028556127499318976,Pos4h_PosCTL,FALSE
PKCI,0.3239179036585547,Pos4h_PosCTL,TRUE
PKD,0.4553064511442682,Pos4h_PosCTL,TRUE
PKG,0.4278113333774627,Pos4h_PosCTL,TRUE
PKN,0.03988429344342906,Pos4h_PosCTL,FALSE
PLK,0.1370406131402671,Pos4h_PosCTL,FALSE
PRKDC,0.04398542732114604,Pos4h_PosCTL,FALSE
QIK,0.20189877641941295,Pos4h_PosCTL,TRUE
RAD53,0.29484647221915844,Pos4h_PosCTL,TRUE
RAF,0.09820386169690729,Pos4h_PosCTL,FALSE
RIPK,0.450529505325442,Pos4h_PosCTL,TRUE
RSK,0.2583076516064038,Pos4h_PosCTL,TRUE
SGK,0.20553196984874425,Pos4h_PosCTL,TRUE
SLK,-0.22728272262966875,Pos4h_PosCTL,TRUE
STE11,-0.00378006605682422,Pos4h_PosCTL,FALSE
STE7,0.15061418701471202,Pos4h_PosCTL,FALSE
STKR,0.3433375854057612,Pos4h_PosCTL,TRUE
SYK,-0.2824976426732566,Pos4h_PosCTL,TRUE
TAO,0.24722353772456587,Pos4h_PosCTL,TRUE
TEC,-0.2824976426732566,Pos4h_PosCTL,TRUE
VEGFR,-0.2824976426732566,Pos4h_PosCTL,TRUE
VRK1,0.06174191125771837,Pos4h_PosCTL,FALSE
VRK2,0.17896993712879272,Pos4h_PosCTL,FALSE
