Kinase,score,condition
CAMK1,2.3716666666666666,Pos30m_PosCTL
CAMK1,2.3716666666666666,Pos30m_PosCTL
CAMK1,2.3716666666666666,Pos30m_PosCTL
CAMK1,2.524166666666667,Pos4h_PosCTL
CAMK1,2.524166666666667,Pos4h_PosCTL
CAMK1,2.524166666666667,Pos4h_PosCTL
CAMK1,2.524166666666667,Pos4h_PosCTL
CAMK1,2.524166666666667,Pos4h_PosCTL
CAMK1,2.8541666666666665,Pos5m_PosCTL
CAMK1,2.8541666666666665,Pos5m_PosCTL
CAMK1,2.8541666666666665,Pos5m_PosCTL
CAMK1,2.8541666666666665,Pos5m_PosCTL
CAMK1,2.8541666666666665,Pos5m_PosCTL
CAMK2,-0.16166666666666665,Neg15m_NegCTL
CAMK2,-0.16166666666666665,Neg15m_NegCTL
CAMK2,-0.16166666666666665,Neg15m_NegCTL
CAMK2,-0.16166666666666665,Neg15m_NegCTL
CAMK2,0.20083333333333336,Neg1h_NegCTL
CAMK2,0.20083333333333336,Neg1h_NegCTL
CAMK2,0.20083333333333336,Neg1h_NegCTL
CAMK2,0.20083333333333336,Neg1h_NegCTL
CAMK2,-0.5050000000000001,Neg24h_NegCTL
CAMK2,-0.5050000000000001,Neg24h_NegCTL
CAMK2,-0.5050000000000001,Neg24h_NegCTL
CAMK2,-0.5050000000000001,Neg24h_NegCTL
CAMK2,0.01416666666666666,Neg30m_NegCTL
CAMK2,0.01416666666666666,Neg30m_NegCTL
CAMK2,0.01416666666666666,Neg30m_NegCTL
CAMK2,0.01416666666666666,Neg30m_NegCTL
CAMK2,-0.9916666666666668,Neg4h_NegCTL
CAMK2,-0.9916666666666668,Neg4h_NegCTL
CAMK2,-0.9916666666666668,Neg4h_NegCTL
CAMK2,-0.9916666666666668,Neg4h_NegCTL
CAMK2,-0.26499999999999996,Neg5m_NegCTL
CAMK2,-0.26499999999999996,Neg5m_NegCTL
CAMK2,-0.26499999999999996,Neg5m_NegCTL
CAMK2,-0.26499999999999996,Neg5m_NegCTL
CAMK2,0.17499999999999988,Pos15m_PosCTL
CAMK2,0.17499999999999988,Pos15m_PosCTL
CAMK2,0.17499999999999988,Pos15m_PosCTL
CAMK2,0.17499999999999988,Pos15m_PosCTL
CAMK2,1.0433333333333334,Pos1h_PosCTL
CAMK2,1.0433333333333334,Pos1h_PosCTL
CAMK2,1.0433333333333334,Pos1h_PosCTL
CAMK2,1.0433333333333334,Pos1h_PosCTL
CAMK2,0.585,Pos24h_PosCTL
CAMK2,0.585,Pos24h_PosCTL
CAMK2,0.585,Pos24h_PosCTL
CAMK2,0.585,Pos24h_PosCTL
CAMK2,0.1883333333333333,Pos30m_PosCTL
CAMK2,0.1883333333333333,Pos30m_PosCTL
CAMK2,0.1883333333333333,Pos30m_PosCTL
CAMK2,0.1883333333333333,Pos30m_PosCTL
CAMK2,0.7225,Pos4h_PosCTL
CAMK2,0.7225,Pos4h_PosCTL
CAMK2,0.7225,Pos4h_PosCTL
CAMK2,0.7225,Pos4h_PosCTL
CAMK2,0.54,Pos5m_PosCTL
CAMK2,0.54,Pos5m_PosCTL
CAMK2,0.54,Pos5m_PosCTL
CAMK2,0.54,Pos5m_PosCTL
CAMKK,-1.0533333333333332,Neg15m_NegCTL
CAMKK,-1.0533333333333332,Neg15m_NegCTL
CAMKK,-0.7358333333333333,Neg1h_NegCTL
CAMKK,-0.7358333333333333,Neg1h_NegCTL
CAMKK,-0.8458333333333333,Neg24h_NegCTL
CAMKK,-0.8458333333333333,Neg24h_NegCTL
CAMKK,-0.8425,Neg30m_NegCTL
CAMKK,-0.8425,Neg30m_NegCTL
CAMKK,-0.7758333333333333,Neg4h_NegCTL
CAMKK,-0.7758333333333333,Neg4h_NegCTL
CAMKK,-0.9033333333333332,Neg5m_NegCTL
CAMKK,-0.9033333333333332,Neg5m_NegCTL
CAMKK,-0.9733333333333334,Pos15m_PosCTL
CAMKK,-0.9733333333333334,Pos15m_PosCTL
CAMKK,-0.7408333333333333,Pos1h_PosCTL
CAMKK,-0.7408333333333333,Pos1h_PosCTL
CAMKK,-0.4766666666666667,Pos24h_PosCTL
CAMKK,-0.4766666666666667,Pos24h_PosCTL
CAMKK,-0.985,Pos30m_PosCTL
CAMKK,-0.985,Pos30m_PosCTL
CAMKK,-0.8233333333333334,Pos4h_PosCTL
CAMKK,-0.8233333333333334,Pos4h_PosCTL
CAMKK,-0.8466666666666667,Pos5m_PosCTL
CAMKK,-0.8466666666666667,Pos5m_PosCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-4.4325,Neg15m_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-3.82,Neg1h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-4.099166666666667,Neg24h_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.35,Neg30m_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.138333333333333,Neg4h_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-3.4966666666666666,Neg5m_NegCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-4.479166666666667,Pos15m_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-3.195,Pos1h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-2.0233333333333334,Pos24h_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-5.128333333333333,Pos30m_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-3.8791666666666664,Pos4h_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
CDK,-4.066666666666666,Pos5m_PosCTL
