Kinase,Score,Rank,Method,Perc,Qrt,group,KinaseFamily,subfamily,hgnc_symbol
STKR,-0.06833333333333336,76,KRSA,0.03753910323253389,1,TKL,STKR,TYPE2,TGFBR2
MLCK,-0.3350000000000001,63,KRSA,0.20020855057351408,1,CAMK,MLCK,MLCK,MYLK
MLCK,-0.3350000000000001,63,KRSA,0.20020855057351408,1,CAMK,MLCK,MLCK,MYLK2
MLCK,-0.3350000000000001,63,KRSA,0.20020855057351408,1,CAMK,MLCK,MLCK,TTN
NDR,0.01333333333333335,79,KRSA,0,1,AGC,NDR,NDR,LATS1
NDR,0.01333333333333335,79,KRSA,0,1,AGC,NDR,NDR,LATS2
NDR,0.01333333333333335,79,KRSA,0,1,AGC,NDR,NDR,STK38
NDR,0.01333333333333335,79,KRSA,0,1,AGC,NDR,NDR,STK38L
COT,-0.09000000000000002,74,KRSA,0.06256517205422316,1,STE,STE-UNIQUE,STE-UNIQUE,MAP3K8
ERK,-4.4191666666666665,1,KRSA,0.9885297184567258,4,CMGC,MAPK,ERK1,MAPK1
ERK,-4.4191666666666665,1,KRSA,0.9885297184567258,4,CMGC,MAPK,ERK7,MAPK15
ERK,-4.4191666666666665,1,KRSA,0.9885297184567258,4,CMGC,MAPK,ERK1,MAPK3
ERK,-4.4191666666666665,1,KRSA,0.9885297184567258,4,CMGC,MAPK,ERK3,MAPK4
ERK,-4.4191666666666665,1,KRSA,0.9885297184567258,4,CMGC,MAPK,ERK3,MAPK6
ERK,-4.4191666666666665,1,KRSA,0.9885297184567258,4,CMGC,MAPK,ERK5,MAPK7
DYRK,-4.251666666666667,2,KRSA,0.9760166840458812,4,CMGC,DYRK,DYRK1,DYRK1A
DYRK,-4.251666666666667,2,KRSA,0.9760166840458812,4,CMGC,DYRK,DYRK1,DYRK1B
DYRK,-4.251666666666667,2,KRSA,0.9760166840458812,4,CMGC,DYRK,DYRK2,DYRK2
DYRK,-4.251666666666667,2,KRSA,0.9760166840458812,4,CMGC,DYRK,DYRK2,DYRK3
DYRK,-4.251666666666667,2,KRSA,0.9760166840458812,4,CMGC,DYRK,DYRK2,DYRK4
DYRK,-4.251666666666667,2,KRSA,0.9760166840458812,4,CMGC,DYRK,HIPK,HIPK1
DYRK,-4.251666666666667,2,KRSA,0.9760166840458812,4,CMGC,DYRK,HIPK,HIPK2
DYRK,-4.251666666666667,2,KRSA,0.9760166840458812,4,CMGC,DYRK,HIPK,HIPK3
DYRK,-4.251666666666667,2,KRSA,0.9760166840458812,4,CMGC,DYRK,HIPK,HIPK4
DYRK,-4.251666666666667,2,KRSA,0.9760166840458812,4,CMGC,DYRK,PRP4,PRPF4B
PDK1,-3.865833333333333,5,KRSA,0.9384775808133472,4,ATYPICAL,PDHK,PDHK,PDK1
PDK1,-3.865833333333333,5,KRSA,0.9384775808133472,4,AGC,PDK1,PDK1,PDPK1
JNK,-3.9183333333333334,3,KRSA,0.9635036496350365,4,CMGC,MAPK,JNK,MAPK10
JNK,-3.9183333333333334,3,KRSA,0.9635036496350365,4,CMGC,MAPK,JNK,MAPK8
JNK,-3.9183333333333334,3,KRSA,0.9635036496350365,4,CMGC,MAPK,JNK,MAPK9
PKA,3.3466666666666667,8,KRSA,0.9009384775808134,4,AGC,PKA,PKA,PRKACA
PKA,3.3466666666666667,8,KRSA,0.9009384775808134,4,AGC,PKA,PKA,PRKACB
PKA,3.3466666666666667,8,KRSA,0.9009384775808134,4,AGC,PKA,PKA,PRKACG
PKA,3.3466666666666667,8,KRSA,0.9009384775808134,4,AGC,PKA,PKA,PRKX
PKA,3.3466666666666667,8,KRSA,0.9009384775808134,4,AGC,PKA,PKA,PRKY
P38,-3.43,6,KRSA,0.9259645464025026,4,CMGC,MAPK,P38,MAPK11
P38,-3.43,6,KRSA,0.9259645464025026,4,CMGC,MAPK,P38,MAPK12
P38,-3.43,6,KRSA,0.9259645464025026,4,CMGC,MAPK,P38,MAPK13
P38,-3.43,6,KRSA,0.9259645464025026,4,CMGC,MAPK,P38,MAPK14
PKG,3.1791666666666667,9,KRSA,0.8884254431699687,4,AGC,PKG,PKG,PRKG1
PKG,3.1791666666666667,9,KRSA,0.8884254431699687,4,AGC,PKG,PKG,PRKG2
CAMK1,2.524166666666667,11,KRSA,0.8633993743482794,4,CAMK,CAMK1,CAMK1,CAMK1
CAMK1,2.524166666666667,11,KRSA,0.8633993743482794,4,CAMK,CAMK1,CAMK1,CAMK1D
CAMK1,2.524166666666667,11,KRSA,0.8633993743482794,4,CAMK,CAMK1,CAMK1,CAMK1G
CAMK1,2.524166666666667,11,KRSA,0.8633993743482794,4,CAMK,CAMK1,CAMK1,CAMK4
