Kinase,Peptide,LFC
DYRK,GSUB_61_73,0.2292523625597589
ERK,GSUB_61_73,0.2292523625597589
PDK1,GSUB_61_73,0.2292523625597589
PHK,GSUB_61_73,0.2292523625597589
PKA,GSUB_61_73,0.2292523625597589
PKG,GSUB_61_73,0.2292523625597589
PLK,GSUB_61_73,0.2292523625597589
VRK2,GSUB_61_73,0.2292523625597589
AKT,GYS2_1_13,0.17632916841961271
BARK1,GYS2_1_13,0.17632916841961271
CDK,GYS2_1_13,0.17632916841961271
DMPK,GYS2_1_13,0.17632916841961271
IKK,GYS2_1_13,0.17632916841961271
MAPKAPK,GYS2_1_13,0.17632916841961271
MTOR,GYS2_1_13,0.17632916841961271
PEK,GYS2_1_13,0.17632916841961271
PHK,GYS2_1_13,0.17632916841961271
PKA,GYS2_1_13,0.17632916841961271
PKCA,GYS2_1_13,0.17632916841961271
QIK,GYS2_1_13,0.17632916841961271
RSK,GYS2_1_13,0.17632916841961271
SGK,GYS2_1_13,0.17632916841961271
VRK2,GYS2_1_13,0.17632916841961271
AKT,H2B1B_ 27_40,0.23839009319937343
AMPK,H2B1B_ 27_40,0.23839009319937343
BARK1,H2B1B_ 27_40,0.23839009319937343
CAMK1,H2B1B_ 27_40,0.23839009319937343
CDK,H2B1B_ 27_40,0.23839009319937343
COT,H2B1B_ 27_40,0.23839009319937343
DAPK,H2B1B_ 27_40,0.23839009319937343
DMPK,H2B1B_ 27_40,0.23839009319937343
IKK,H2B1B_ 27_40,0.23839009319937343
MLK,H2B1B_ 27_40,0.23839009319937343
MST,H2B1B_ 27_40,0.23839009319937343
PAKA,H2B1B_ 27_40,0.23839009319937343
PAKB,H2B1B_ 27_40,0.23839009319937343
PDHK,H2B1B_ 27_40,0.23839009319937343
PEK,H2B1B_ 27_40,0.23839009319937343
PHK,H2B1B_ 27_40,0.23839009319937343
PIM,H2B1B_ 27_40,0.23839009319937343
PKA,H2B1B_ 27_40,0.23839009319937343
PKCA,H2B1B_ 27_40,0.23839009319937343
PKCH,H2B1B_ 27_40,0.23839009319937343
PKD,H2B1B_ 27_40,0.23839009319937343
PKG,H2B1B_ 27_40,0.23839009319937343
PLK,H2B1B_ 27_40,0.23839009319937343
QIK,H2B1B_ 27_40,0.23839009319937343
RAD53,H2B1B_ 27_40,0.23839009319937343
RSK,H2B1B_ 27_40,0.23839009319937343
SGK,H2B1B_ 27_40,0.23839009319937343
VRK2,H2B1B_ 27_40,0.23839009319937343
AMPK,H32_3_18,0.28487551603057515
ATR,H32_3_18,0.28487551603057515
AUR,H32_3_18,0.28487551603057515
BARK1,H32_3_18,0.28487551603057515
DAPK,H32_3_18,0.28487551603057515
DMPK,H32_3_18,0.28487551603057515
DYRK,H32_3_18,0.28487551603057515
MLK,H32_3_18,0.28487551603057515
MST,H32_3_18,0.28487551603057515
MTOR,H32_3_18,0.28487551603057515
PHK,H32_3_18,0.28487551603057515
PIM,H32_3_18,0.28487551603057515
PKCA,H32_3_18,0.28487551603057515
PKCD,H32_3_18,0.28487551603057515
PRKDC,H32_3_18,0.28487551603057515
QIK,H32_3_18,0.28487551603057515
RAD53,H32_3_18,0.28487551603057515
RSK,H32_3_18,0.28487551603057515
STE7,H32_3_18,0.28487551603057515
VRK1,H32_3_18,0.28487551603057515
VRK2,H32_3_18,0.28487551603057515
BARK1,IF4E_203_215,0.24436860128475055
CDK,IF4E_203_215,0.24436860128475055
DMPK,IF4E_203_215,0.24436860128475055
ERK,IF4E_203_215,0.24436860128475055
GRK,IF4E_203_215,0.24436860128475055
IKK,IF4E_203_215,0.24436860128475055
LKB,IF4E_203_215,0.24436860128475055
MAPKAPK,IF4E_203_215,0.24436860128475055
MLK,IF4E_203_215,0.24436860128475055
P38,IF4E_203_215,0.24436860128475055
PEK,IF4E_203_215,0.24436860128475055
PKCA,IF4E_203_215,0.24436860128475055
QIK,IF4E_203_215,0.24436860128475055
RIPK,IF4E_203_215,0.24436860128475055
STKR,IF4E_203_215,0.24436860128475055
VRK1,IF4E_203_215,0.24436860128475055
VRK2,IF4E_203_215,0.24436860128475055
BARK1,K6PL_766_778,-0.6149116331390907
AKT,K6PL_766_778,-0.6149116331390907
CAMK2,K6PL_766_778,-0.6149116331390907
CDK,K6PL_766_778,-0.6149116331390907
MAPKAPK,K6PL_766_778,-0.6149116331390907
MARK,K6PL_766_778,-0.6149116331390907
MOS,K6PL_766_778,-0.6149116331390907
PEK,K6PL_766_778,-0.6149116331390907
PHK,K6PL_766_778,-0.6149116331390907
PKA,K6PL_766_778,-0.6149116331390907
PKCA,K6PL_766_778,-0.6149116331390907
PKG,K6PL_766_778,-0.6149116331390907
RAD53,K6PL_766_778,-0.6149116331390907
RSK,K6PL_766_778,-0.6149116331390907
VRK2,K6PL_766_778,-0.6149116331390907
BARK1,KAP2_92_104,0.3464898862607993
CDK,KAP2_92_104,0.3464898862607993
CK2,KAP2_92_104,0.3464898862607993
DMPK,KAP2_92_104,0.3464898862607993
ERK,KAP2_92_104,0.3464898862607993
GSK,KAP2_92_104,0.3464898862607993
MAPKAPK,KAP2_92_104,0.3464898862607993
PDHK,KAP2_92_104,0.3464898862607993
PEK,KAP2_92_104,0.3464898862607993
PHK,KAP2_92_104,0.3464898862607993
PIM,KAP2_92_104,0.3464898862607993
PKA,KAP2_92_104,0.3464898862607993
PKCA,KAP2_92_104,0.3464898862607993
PKD,KAP2_92_104,0.3464898862607993
PKG,KAP2_92_104,0.3464898862607993
QIK,KAP2_92_104,0.3464898862607993
RIPK,KAP2_92_104,0.3464898862607993
RSK,KAP2_92_104,0.3464898862607993
VRK2,KAP2_92_104,0.3464898862607993
AKT,KAP3_107_119,0.36582879954410547
AUR,KAP3_107_119,0.36582879954410547
BARK1,KAP3_107_119,0.36582879954410547
DMPK,KAP3_107_119,0.36582879954410547
MAPKAPK,KAP3_107_119,0.36582879954410547
PDHK,KAP3_107_119,0.36582879954410547
PHK,KAP3_107_119,0.36582879954410547
PKA,KAP3_107_119,0.36582879954410547
PKCA,KAP3_107_119,0.36582879954410547
RIPK,KAP3_107_119,0.36582879954410547
VRK2,KAP3_107_119,0.36582879954410547
BARK1,KAPCG_192_206,0.07466596386482749
CAMK2,KAPCG_192_206,0.07466596386482749
CDK,KAPCG_192_206,0.07466596386482749
DMPK,KAPCG_192_206,0.07466596386482749
DYRK,KAPCG_192_206,0.07466596386482749
ERK,KAPCG_192_206,0.07466596386482749
GSK,KAPCG_192_206,0.07466596386482749
IKK,KAPCG_192_206,0.07466596386482749
IRAK,KAPCG_192_206,0.07466596386482749
LKB,KAPCG_192_206,0.07466596386482749
MELK,KAPCG_192_206,0.07466596386482749
MST,KAPCG_192_206,0.07466596386482749
MTOR,KAPCG_192_206,0.07466596386482749
PDHK,KAPCG_192_206,0.07466596386482749
PDK1,KAPCG_192_206,0.07466596386482749
PHK,KAPCG_192_206,0.07466596386482749
PIM,KAPCG_192_206,0.07466596386482749
PKCH,KAPCG_192_206,0.07466596386482749
VRK2,KAPCG_192_206,0.07466596386482749
BARK1,KCC2G_278_289,0.20210866404872663
CAMK2,KCC2G_278_289,0.20210866404872663
CDK,KCC2G_278_289,0.20210866404872663
CK1,KCC2G_278_289,0.20210866404872663
MAPKAPK,KCC2G_278_289,0.20210866404872663
MELK,KCC2G_278_289,0.20210866404872663
MLCK,KCC2G_278_289,0.20210866404872663
PEK,KCC2G_278_289,0.20210866404872663
PHK,KCC2G_278_289,0.20210866404872663
PIM,KCC2G_278_289,0.20210866404872663
